00042480293;ORTOFRUTTA BAZZAN S.N.C. DI BAZZAN SAMUELE E GRAZIELLA;VIA PROVVIDENZA, 25;45020;LUSIA;;00042480293;;;;;
00050190321;EUROFRUTTA DI FABIO LAZZARINI;RIVA OTTAVIANO AUGUSTO 12;34123;TRIESTE;;00050190321;;;;;
00057630329;G. MARICCHIOLO SUCC. DI PAOLO MARICCHIOLO & CO. - SOCIETA' IN ACCOMANDITA SEMPLICE;VIA OTTAVIANO AUGUSTO 12;34100;TRIESTE;;00057630329;;;;;
00083290593;COOPERATIVA AGRICOLA CENTRO SUD - C.A.C.S. - A R.L.;VIALE PIEMONTE 154;04022;FONDI;;00083290593;;;;;
00110420098;L'ORTOFRUTTICOLA SOCIETA' AGRICOLA COOPERATIVA;REGIONE MASSARETTI 30/1;17031;ALBENGA;;00110420098;;;;;
00120690599;GALLI TOMMASO;VIA DEI CARDI 5;04029;SPERLONGA;;00120690599;;;;;
00123400665;SOCIETA' COOPERATIVA ORTOFRUTTICOLA MARSICANA;VIA SAN FRANCESCO 157;67051;AVEZZANO;;00123400665;;;;;
00124480591;CONSORZIO ORTO FLORO FRUTTICOLO DELLA PROVINCIA DI LATINA - SOCIETA' COOPERATIVA AGRICOLA;VIA PANTANELLO 2;04022;FONDI;;00124480591;;;;;
00127560597;SAN LEONE - SOCIETA' COOPERATIVA AGRICOLA;STRADA PROVINCIALE FONDI-SPERLONGA KM.8,300;04022;FONDI;;00127560597;;;;;
00127580090;F.LLI GIACCHINO DI GIACCHINO PAOLA E ANDREA E C. - S.N.C.;VIA TORCELLO 13;17047;QUILIANO;;00127580090;;;;;
00131410599;LA FLACCA - SOCIETA' COOPERATIVA AGRICOLA;STRADA PROVINCIALE FONDI-SPERLONGA ;04022;FONDI;;00131410599;;;;;
00152110110;STEFANI S.R.L.;VIA DEI MOLINI 28;19038;SARZANA;;00152110110;;;;;
00155090590;LARIOLETTA S.R.L.;VIALE PIEMONTE 1;04022;FONDI;;00155090590;;;;;
00156780306;FRATELLI SIMEONI E C. S.R.L.;PIAZZALE DELL'AGRICOLTURA ;33100;Udine;;00156780306;;;;;
00173450404;FALCONI GIOVANNI;VIA EMILIA VECCHIA 75;47922;RIMINI;;00173450404;;;;;
00184830271;TIMPERI S.R.L.;VIA DELL'ATOMO 20/7;30175;VENEZIA;;00184830271;;;;;
00213500671;ORTOFRUTTA PALESTINI S.R.L.;VIA NAZIONALE 55;64026;ROSETO DEGLI ABRUZZI;;00213500671;;;;;
00224210237;TIRAPELLE G. & D. S.R.L.;VIA IV NOVEMBRE 34;37030;RONC?;;00224210237;;;;;
00233450568;FONTI GENERAL FRUTTA S.R.L.;STRADA SAN MICHELE 34;01019;VETRALLA;;00233450568;;;;;
00233970599;NERONI ANGELO;VIA FLACCA 10163;04022;FONDI;;00233970599;;;;;
00243330560;MUSTO SERGIO;VIA GIULIO ALESSANDRINI,50;01014;MONTALTO DI CASTRO;;00243330560;;;;;
00250520459;ANGELOTTI FRANCA;VIA LUNGOFRIGIDO DI LEVANTE 7;54100;MASSA;;00250520459;;;;;
00266720655;GRIPPINO DOMENICO;VIA SANTA LUCIA, 29;84012;ANGRI;;00266720655;;;;;
00273090068;PASINO PIERINO E FIGLI - S.N.C.;VIA GIUSEPPE GARIBALDI 6;15032;BORGO SAN MARTINO;;00273090068;;;;;
00276760378;F.LLI CAZZOLA & C. - S.R.L.;VIA PAOLO CANALI 16;40127;BOLOGNA;;00276760378;;;;;
00289040594;SOCIETA' COOPERATIVA AGRICOLA FONDANA;VIALE PIEMONTE ;04022;FONDI;;00289040594;;;;;
00304720287;GBR ROSSETTO SPA;VIA ENRICO FERMI 7;35030;RUBANO;;00304720287;;;;;
00310090493;VENFRUT DI BETTINI CARLO & C. SNC;VIA DEL COMMERCIO 12;57029;Campiglia Marittima;;00310090493;;;;;
00321150260;SUPERMERCATI VISOTTO S.R.L.;VIA CHERSO 16/A;31045;MOTTA DI LIVENZA;;00321150260;;;;;
00322700592;DE ANGELIS E DI TROCCHIO S.R.L.;VIALE PIEMONTE ;04022;FONDI;;00322700592;;;;;
00341420271;FRATELLI TIOZZO CANARIN S.N.C. DI TIOZZO ARMIDO E ALESSANDRO CELI;VIA DELL'ATOMO 20/INT.14;30175;VENEZIA;;00341420271;;;;;
00348770942;TROPICAL-SOCIETA' A RESPONSABILITA' LIMITATA;CORSO RISORGIMENTO 204;86170;ISERNIA;;00348770942;;;;;
00383340494;CECINAFRUTTA SRL;VIA DON GIOVANNI MINZONI 2/B;57023;CECINA;;00383340494;;;;;
00385830161;SERAFINI DANTE SRL;VIA BORGO PALAZZO 207;24125;BERGAMO;;00385830161;;;;;
00386010482;BONECHIFRUTTA - SOCIETA' PER AZIONI UNIPERSONALE;PIAZZA EUGENIO ARTOM-CAP A1/2 L.OVEST 12;50127;Firenze;;00386010482;;;;;
00393950480;SOCIETA' COOPERATIVA AGRICOLA DI LEGNAIA SIGLABILE "LEGNAIACOOP", "COOP LEGNAIA", "COOP. DI LEGNAIA", "AGRICOLA LEGNAIA" ACCOMPAGNATO DA SOCIETA' COOPERATIVA (OVVERO SOC. COOP.);VIA BACCIO DA MONTELUPO 180;50142;FIRENZE;;00393950480;;;;;
00410270235;EUROVERDE S.R.L.;VIA SOMMACAMPAGNA 63/D;37137;VERONA;;00410270235;;;;;
00418000287;CARLEVARI S.R.L.;VIA MONTEGROTTO 70;35038;TORREGLIA;;00418000287;;;;;
00434290482;F.LLI TESI ANDREA E ALBERTO S.R.L.;PIAZZA EUGENIO ARTOM 12;50127;FIRENZE;;00434290482;;;;;
00443270236;PLAFONI FRUTTA S.R.L.;VIA SOMMACAMPAGNA 63/D;37137;VERONA;;00443270236;;;;;
00448510685;L'AGRUMARIA S.R.L.;VIA NAZIONALE SS 602;65012;Cepagatti;;00448510685;;;;;
00476690268;BOSCOLO FRUTTA S.R.L.;;31100;Treviso;;00476690268;;;;;
00493120018;LIVIGNI MARIA ROSALIA;STRADA DEL PORTONE 30;10095;GRUGLIASCO;;00493120018;;;;;
00503060014;FOGLIATI S.N.C. DI FOGLIATI ERALDO E FRANCO ANGELO;VIA ALBENGA 11/1;10134;TORINO;;00503060014;;;;;
00513490557;SILVANI FRUTTA S.N.C. DI CORVI LUCIANO & C.;VIA RIMEMBRANZE 81-83;05022;AMELIA;;00513490557;;;;;
